标志,ID,立绘,内容,跳转,效果（赋值给角色的状态，当要flag检定时，会将角色的状态赋值到跳转中）,flag检定,姓名
#,29,NULL,终于你回到了家，你打开家门看到妻子出来迎接你，但她的眼神望向了你的身后，表情突然变得惊恐，你还没反应过来怎么一回事，便眼前一暗。,30,,,旁白
#,30,NULL,不知过了多久，醒来的你发现正身处一间牢房中，而对面的牢房里，你不出意外地看到了老板娘。,31,,0,旁白
#,31,NULL,原来如此... ...你们当时的对话被监听了，因为你的同意，你的妻子与女儿也遭受到了连累... ...怎么会... ...,32,,0,旁白
#,32,NULL,... ...,33,,0,旁白
#,33,NULL,再次有意识时，你是被口袋里的石头刺醒的，你发现联络器也不见了，看来你又回到了这一天的开始,34,,0,旁白
END,34,,,,104,,
&,35,,不... ...我还是算了吧,37,,,
&,36,,不... ...我还是算了吧,44,,,
#,37,NULL,你想起上一次你答应了他的邀请，结果晚上的时候你就被抄家了，你的妻子与女儿也遭受了连累。,38,,0,旁白
#,38,NULL,你也不敢做出多余的行动，因为此刻应该正有人监听你们的对话。,39,,0,旁白
#,39,NULL,同时，你想起自己的猜测，只有做出和以往一样的决定才能打破循环，你想你并不是一个激进冒失的人，还是选择拒绝吧，或许这样你能突破循环。,40,,0,旁白
#,40,老板娘,看起来有点失望，但很快打起了精神。,41,,0,老板娘
#,41,NULL,老板娘迅速地把一个方形的物品塞入你的口袋，应该是联络器,42,,0,旁白
#,42,老板娘,如果有需要的话，就使用这个吧,43,,0,老板娘
END,43,,,,55,,
#,44,NULL,你有些犹豫,45,,0,旁白
#,45,NULL,你知道一旦你答应了，你每天将不断地和警卫队周旋，你的生活将和安稳一词告别。你的妻子与女儿也将在警卫队的例行盘问时再也没有底气。,46,,0,旁白
#,46,NULL,同时，你想起自己的猜测，只有做出和以往一样的决定才能打破循环，你想你并不是一个激进冒失的人，还是选择拒绝吧，或许这样你能突破循环。,40,,0,旁白
#,47,NULL,你再次进入这个诡异的梦境，你发现这一次梦境的色彩变得黯淡了一点，而身后追逐的怪物更加庞大。,48,,0,旁白
#,48,NULL,不行，要尽快逃走。,49,,0,旁白
#,49,NULL,你心中隐隐约约有预感，你清醒的时候经历的事情都是你曾经经历过一次的，只有做出一样的选择，你才能顺利进入下一天，而这个梦境... ...,50,,0,旁白
#,50,NULL,你在逃跑的间隙看了眼身后的怪物，怪物身上巨大的不规则水晶让你想到了哪个爆体而亡的工人，他变得比上一次更加巨大，这也是某种暗示吗... ...?,51,,0,旁白
END,51,,,,52,,
#,52,NULL,你再次从诡异的梦境中醒来，你发现你睡前放在床头的联络器还在那里，你松了口气，这意味着你成功进入到了全新的一天。,53,,,
#,53,NULL,但你感觉喉咙有点痒，你咳嗽了几声稍微感觉好点。,54,,,
END,54,,,,62,,
#,55,NULL,你回到了家，妻子并没有在家中，这让你有些惊讶，但好在她很快便回来了。,56,,0,旁白
#,56,妻子,今天买菜的时候娱乐室被围起来了，所以绕了些路。,57,,0,妻子
#,57,妻子,听他们说老板娘因为和反抗军勾结被抓了。前两天我还和她一起聊天来着，你说这是什么事呀……,58,,0,妻子
#,58,NULL,你有些惊讶，你没想到警卫队的调查动作如此之快。你假装她没有来找过你,59,,0,旁白
#,59,主角,这样吗，没想到她会和反抗军有关啊。,60,,0,主角
#,60,NULL,惊讶之余，你祈祷老板娘的动作没有让自己引起警卫队的注意,61,,0,旁白
END,61,,,,47,,
#,62,NULL,你像往常一样到了工作的地方，但你感觉喉咙越来越不舒服，你用手捂着嘴，猛地咳嗽了几声，你感到手上一股凉意。,63,,0,旁白
#,63,NULL,你低头看去，发现你手上有黑色的血迹。,64,,0,旁白
#,64,主角,！怎么会... …,65,,0,主角
#,65,NULL,即使你有隐约有预感，但你没想到你真的还是患上了这种病,66,,0,旁白
#,66,NULL,路过的工友，发现你愣在原地，探究的打量你，发现了你手上的黑色血迹。,67,,0,旁白
#,67,工友,嘶，感觉有点严重呀，看来你得病的消息果然不假。你现在去和工头聊聊抚恤金的事呢？他现在心情挺好的，说不定到时候你家人可以多拿一点。,68,,0,工友
#,68,主角,（抓住了工友）等等！你说清楚，什么叫我得病的消息。,69,,0,主角
#,69,工友,我想想，前天？不对，大前天吧？大伙都在说你体检出了这个病。这几天你难道一点传闻没听到？,70,,0,工友
#,70,工友,听说到这个病是不治之症，唉，你还是多去陪陪家人吧。,71,,0,工友
#,71,NULL,你一下就明白了，王婶为什么送来包子，妻子为何欲言又止，老板娘又为何找上你。都是因为这个……,72,,0,旁白
#,72,NULL,那个晶石般的怪物不断逼近，你预感着快要接近最终的真相了。但却未曾想过是这样的结局……,73,,0,旁白
#,73,NULL,你不知道你的循环是否和这个病之间是否有关联，达摩克利斯之剑的落下让你手足无措，你只能遵循肌肉记忆麻木的干完了一天的活。,74,,0,旁白
END,74,,,,75,,
#,75,NULL,你走在回家的路上，你低着头向前走，没有注意到前方的人，你一头撞了上去。,76,,0,旁白
#,76,兜帽人,你好，可怜的先生，你得了矿石病吧，或许我可以帮帮你。,77,,0,兜帽人
#,77,主角,“矿石病”犹如一记重锤让你骤然清醒,78,,0,主角
#,78,主角,... ...你是什么人？,79,,0,主角
#,79,兜帽人,我只是一位普通的占卜师。,80,,0,兜帽人
#,80,兜帽人,那么，循环游戏已经开始了，你想继续还是停止？,81,,0,占卜师
#,81,主角,你在说什么？循环... ...你知道我的身上发生了什么对不对！,82,,0,主角
#,82,兜帽人,循环游戏已经开始了，你想继续还是停止？,83,,1,占卜师
#,83,NULL,你有预感，这个回答将决定你未来的一生,84,,0,旁白
&,84,,我选突破循环！,86,90,,
&,85,,我选留在循环…,88,90,,
#,86,NULL,你几乎是脱口而出，你迫切的希望能从这个诡异的循环里走出去，哪怕是爆炸而亡，因为你有更重要的事去做，你想起了老板娘的那段话,87,,0,旁白
#,87,兜帽人,那么，祝你好运。,96,,0,占卜师
#,88,NULL,你没有忘记突破循环的规则是做出和以往一样的决定，你看透了占卜师的诡计，这下应该十拿九稳了。,89,,0,旁白
#,89,兜帽人,是吗？那就如你所愿,93,,0,占卜师
&,90,,拒绝按照他的提问回答问题。,91,91,,
#,91,NULL,你认为自己不应该按照他的思路去回答问题，明明是你自己的命运，为什么你只能走他人给出的两条路呢？,92,,0,占卜师
#,92,主角,我想我有更优解。转身跑回了家，打开了那个被你放置在床头的联络器…...,100,,0,主角
#,93,NULL,你回到家完成了这一天，当你再次醒来时，你发现你既找不到口袋中的石头，也找不到床头的联络器，所以现在是，循环的第一天... ...？可是为什么——,94,,0,旁白
#,94,NULL,不，你发现这是一个悖论。之所以会陷入循环，一定是因为你在最初的那一天选择加入了占卜师的循环游戏。,95,,0,旁白
#,95,NULL,虽然你做出了和以往一样的决定，成功突破了这个三日循环。但是你再次答应了他的邀约，新的契约签订，你又陷入了一个新的三日循环。可恶……那到底要怎样才能逃出去……或许突破循环的关键不在于对占卜师的回答,99,,0,旁白
#,96,NULL,你回到家完成了这一天，当你再次醒来时，你发现口袋中的石头和床头的联络器都还在，你惊喜地以为自己成功突破了。可妻子一模一样的话让你明白，你又再一次回到了第三天。,89,,0,旁白
#,97,NULL,一切都明了了，那个占卜师便是一切的起源。想突破循环的迫切欲望冲昏了你的头脑，全然忘记了循环里的规则。既然你进入了这个循环，那便说明在一切起源的那一天，你对占卜师点了头，加入了这场循环游戏。,90,,0,旁白
#,98,NULL,可你已经不想躲在循环里苟延残喘了，你有更重要的事要去做。那么下次……一定要做出和最初一样 的选择。,91,,0,旁白
#,99,NULL,你立刻起身，一刻不停地奔向占卜师原本所在的地方，发现他早已在此处等待,82,,0,旁白
#,100,NULL,你再次醒来，联络器响起，反抗军向你发布今天的任务。你知道自己成功摆脱了三日循环,101,,0,旁白
#,101,NULL,你不知道前路如何，也不知道死期何时来临，但你在循环中意识到了自己还是一个不甘平庸的人，你不愿看到更多只能接受自己结局是爆体而亡的人，更不愿意生命被具象化一个抚恤金的数字徒留接受数字的亲人恸哭。,102,,0,旁白
#,102,NULL,也许在死期将至之前，你还可以用最后的时间去为下城区，为从未见识过蓝天的孩子，为日复一日在高危地区工作的工友做点什么... ...,103,,0,旁白
END,103,,,,,,
#,104,NULL,经过这次循环后，你决定要拒绝老板娘的请求,0,,0,旁白
