标志,ID,立绘,内容,跳转,效果（赋值给角色的状态，当要flag检定时，会将角色的状态赋值到跳转中）,flag检定,姓名
#,58,NULL,你想你应该陷入了循环，可为什么会这样？怎么出去？,59,,0,旁白
#,59,NULL,你决定把石头放进了自己的裤兜里，如果明天石头还在，那这将只是个巧合。但如果不在了，你就得好好想想该怎么走出这个循环了。,60,,0,旁白
END,60,,,,61,,
#,61,NULL,你起床后第一件事便是翻自己的裤兜，里面没有石头。,62,,0,旁白
#,62,NULL,这下清楚了，你陷入循环了，今天是你陷入这个循环的第三天。,63,,0,旁白
#,63,NULL,你照常告别了妻子和女儿,64,,0,
END,64,,,,65,,
#,65,王朵,拜托你打听个事呗，这顿早餐不收你钱了。,66,,0,王朵
#,66,主角,（你配合着搭话）什么事？,67,,0,主角
#,67,NULL,她扯着你到一边去。,68,,0,旁白
#,68,王朵,你知道的，我最近想换个工作。本想着去你们矿洞的，但是最近外面传言五花八门的，说你们那儿出了个死人的病。,69,,0,王朵
#,69,王朵,所以你能不能帮我打听一下那个病到底是怎么回事，不然我心里老是不踏实。,70,,0,王朵
&,70,,义无反顾地告诉她。,72,,,
&,71,,选择撒谎。,77,,,
#,72,主角,实现王朵的请求是不是突破循环的关键呢？,73,,0,主角
#,73,主角,那个病是真实存在的，你可千万不要来！就在昨天有个人就在我面前炸开了！,74,,0,主角
#,74,主角,而且洞里在大规模体检，这个病多半和矿洞脱不开关系。但这个事情你千万别和别人说啊。,75,,0,主角
#,75,王朵,面色凝重地点了点头,76,,0,王朵
END,76,,,,88,,
#,77,主角,想起工头说的话，实在不敢说出实话,78,,0,主角
#,78,主角,你太疑神疑鬼啦，矿洞里现在安全的很。,79,,0,主角
#,79,主角,这些传言不知道是从哪里来的，工地上有个人生个病很正常，也不知道是从哪里染上的，总之和矿洞没关系。,80,,0,主角
#,80,NULL,后续如常，你在循环中又度过了一天,81,,0,旁白
END,81,,,,82,,
#,82,NULL,夜里你做了一个梦，有什么奇怪的东西追着你。,83,,0,旁白
#,83,NULL,白天的这一切都显得太过诡异，但你又觉得隐隐约约有些熟悉，仿佛你曾经经历过这一切……没时间思考了，那个奇怪的怪物追上来了。,84,,0,旁白
END,84,,,,85,,
#,85,NULL,你隐约感觉有什么东西悄悄地滑进了你的脑袋，好像是……有关这天的记忆。正如你感觉的那样，你早在很久以前就经历过这天，身体的本能不会骗人。,86,,0,旁白
#,86,NULL,记忆中的这天你也对着王朵说出了一样的谎话。或许，突破循环的关键就在于复刻那天的行为？,87,,0,旁白
END,87,,,,108,,
#,88,NULL,你刚到矿洞门口，准备往矿洞里走，你可不想再看一次爆炸。就在此时，护卫军拦住了你。,89,,0,旁白
#,89,护卫军,是你这厮造谣矿洞导致矿工生病了？现在我们将以“造谣和侵犯公司名誉”将你抓捕！我们会好好和你“谈谈”的。,90,,0,旁白
#,90,主角,你心里一紧，就算是王朵把消息说出去，也不会这么快传到护卫军耳朵里。除非……她直接去找了护卫军。,91,,0,旁白
#,91,NULL,护卫军把你打晕了过去，你失去了意识。,92,,0,旁白
END,92,,,,93,,
#,93,NULL,再次醒来，依旧躺在自家的床上，你第一次那么庆幸自己陷入了循环。看来这个王朵不能信任，那要怎么做才能突破循环？,94,,0,旁白
END,94,,,,95,,
#,95,NULL,你照常告别了妻子和女儿,96,,0,旁白
END,96,,,,97,,
#,97,王朵,拜托你打听个事呗，这顿早餐不收你钱了。,98,,0,王朵
#,98,主角,（你配合着搭话）什么事？,100,,0,主角
#,99,主角,（你配合着搭话）什么事？,100,,0,主角
#,100,NULL,她扯着你到一边去。,101,,0,旁白
#,101,王朵,你知道的，我最近想换个工作。本想着去你们矿洞的，但是最近外面传言五花八门的，说你们那儿出了个死人的病。,102,,0,王朵
#,102,王朵,所以你能不能帮我打听一下那个病到底是怎么回事，不然我心里老是不踏实。,103,,0,王朵
&,103,,选择撒谎。,104,106,,
#,104,NULL,这次你学聪明了，直接了断地把她打发过去了。,105,,0,旁白
#,105,主角,你太疑神疑鬼啦，矿洞里现在安全的很。,106,,0,主角
#,106,主角,这些传言不知道是从哪里来的，工地上有个人生个病很正常，也不知道是从哪里染上的，总之和矿洞没关系。,107,,0,主角
END,107,,,,80,,
#,108,NULL,你的意识还隐约的停留在那个诡异的梦境，你尝试着动了动手，然后被兜里的石头刺醒了，,109,,0,旁白
#,109,NULL,等等……石头？这意味着你已经突破了循环吗？可是是出于什么原因？因为对王朵说了和梦境里一样的话吗？,110,,0,旁白
#,110,NULL,你不敢确认也不敢马虎，只能继续谨慎地观察今天的情况。,111,,0,旁白
END,111,,,,,,
